,video_id,category,duration,made_for_kids
1089,KlNyW3nF1Fo,Gaming,4:46:36,False
1090,LCEhBBk080I,Entertainment,0:04:15,False
1091,axtdrBYRelY,Pets & Animals,0:00:12,False
1092,UHCPV-2rTkM,Comedy,0:00:10,False
1093,g8HHa-Edh68,People & Blogs,0:00:39,False
1094,pvGegZTADfg,Entertainment,0:01:00,False
1095,RwTlsVjW_DY,People & Blogs,0:00:37,False
1096,VBTgB5yHJk0,Howto & Style,0:00:27,False
1097,v9SiW9U27do,People & Blogs,0:00:18,True
1098,YFHHb0CMqx8,People & Blogs,0:00:55,False
1099,_VO5WS9FsGI,Gaming,4:39:41,False
1100,Y7HTBk7C7BA,Howto & Style,0:00:19,False
1101,fwiNbDZDDjg,People & Blogs,0:00:42,False
1102,oXrsb7Fh_5Q,News & Politics,0:11:31,False
1103,NsR3bzcnBcI,Entertainment,0:39:47,False
1104,yxO51BMgX6o,Gaming,5:13:56,False
1105,YXK09vzuk_U,People & Blogs,0:00:28,False
1106,knrYLjHMuso,Entertainment,0:01:00,False
1107,I3K8BFVoeJw,Howto & Style,0:00:35,False
1108,9WrLUc7zsQg,Sports,0:00:27,False
1109,9b2zZynuTUM,Entertainment,0:00:56,False
1110,fU7o8NbvcOg,People & Blogs,0:00:59,False
1111,d5OmMrijFbY,Gaming,5:29:36,False
1112,nlbObS0kBcQ,Entertainment,0:00:11,False
1113,l1pUx4JLlUs,Sports,2:56:54,False
1114,2vEg-W1GqNA,People & Blogs,0:00:13,False
1115,IihNq_Gazow,Entertainment,0:00:28,False
1116,8mCf2Qj1KdY,Entertainment,0:01:00,False
1117,oVsV6XbjkiA,Gaming,0:00:47,False
1118,f8P-qiOBaEM,Entertainment,0:00:35,False
1119,xfqBQ2XhBCg,Music,0:03:13,False
1120,lcCBpuaf0fk,Comedy,0:00:54,False
1121,uh-6cHhD4yc,People & Blogs,0:23:38,False
1122,c2rD3u_cwTg,News & Politics,0:31:17,False
1123,DKlnRw8m1gM,Sports,3:02:57,False
1124,XXA6yjig2rQ,Gaming,0:00:27,False
1125,bzjE2MGYFLY,Sports,2:35:50,False
1126,ETEepLoTy3I,People & Blogs,0:00:48,False
1127,E8GUOTGj2LI,People & Blogs,0:00:26,False
1128,dY6mBEnX8sI,People & Blogs,0:15:45,False
1129,GDDL8ie8GuE,Comedy,0:00:37,False
1130,mDncSdR-Zyg,Entertainment,0:01:01,False
1131,zeoy0-XPemU,People & Blogs,0:00:30,False
1132,eX4UagrQ0cA,Gaming,4:31:11,False
1133,Rm_kTtR37d4,People & Blogs,0:00:24,False
1134,ZtHLMPDbb5A,Comedy,0:00:52,False
1135,zCqM6HGB9jQ,,,
1136,9XNYh3_ysAw,Travel & Events,0:00:17,False
1137,jcqC1Pl4brY,,,
1138,jC-6YNmMS64,Entertainment,0:00:20,False
1139,WWWH_Pd-XF4,Entertainment,0:00:33,False
1140,mEjpi-v3Bj4,Entertainment,0:00:59,False
1141,4nkFvwxGAfA,Entertainment,0:00:15,False
1142,0vncBNcgnVg,Sports,0:12:10,False
1143,AoBJg9iYu8Q,Sports,3:15:22,False
1144,4v_s9_-dx6A,Howto & Style,0:00:40,False
1145,Pv6pt_FaxkE,Entertainment,0:00:59,False
1146,jNf44ZQ2wuU,Entertainment,0:01:00,False
1147,yxDyvx3hyXw,Sports,3:11:41,False
1148,UFU1cbCstd4,News & Politics,0:08:50,False
1149,hpgAuC9rkTY,People & Blogs,0:00:35,False
1150,p8vtWGIGJvY,Entertainment,0:01:00,False
1151,CnFXMCOZe6U,Entertainment,0:00:21,False
1152,ZCF4XUTJXs4,People & Blogs,0:00:36,False
1153,5q7dirX1fGc,People & Blogs,0:01:01,False
1154,ameNGWfe18o,Entertainment,0:01:00,False
1155,jMgZuja06js,Entertainment,0:01:00,False
1156,vpJiWMfjQic,People & Blogs,0:00:58,False
1157,BXtRj6w60V0,Entertainment,0:00:52,False
1158,Ylej8RcZ--s,Entertainment,0:00:27,False
1159,RJ3t7roiHNY,People & Blogs,0:00:59,False
1160,ozEJ0XCYu34,Entertainment,0:00:50,False
1161,mxulyZg4RfY,Sports,0:00:24,False
1162,GtK_BgElu1M,Comedy,0:00:17,False
1163,8zJSUJC1FF0,Entertainment,0:01:00,False
1164,v0fatv0qAiQ,Entertainment,0:00:57,False
1165,BiFO9KrqW1M,Entertainment,0:00:51,False
1166,Ube_co-Xgjs,People & Blogs,0:00:28,False
1167,kOAgn5H6MRc,People & Blogs,0:00:20,False
1168,69F9zevVd_k,News & Politics,0:08:43,False
1169,yA1ZBOZ9Wz0,Entertainment,0:00:29,False
1170,Bl4iv5mFlHM,Entertainment,0:00:34,False
1171,VISm4XFKLDU,Pets & Animals,0:00:19,False
1172,-NOeb6HK2Rg,Sports,0:16:15,False
1173,W3eS0qWU7Yg,News & Politics,0:14:31,False
1174,jm_-l8mPoGk,News & Politics,0:06:30,False
1175,4_Ybp5QllQo,People & Blogs,0:00:46,False
1176,iRom1yGkMBg,Sports,3:13:36,False
1177,2xLGVHsRuDQ,Pets & Animals,0:00:20,False
1178,VNgPToFh0X4,People & Blogs,0:01:01,False
1179,0Jgo4NF_Li4,Gaming,7:49:31,False
1180,Kw9Hoev5uR4,Entertainment,0:00:47,False
1181,ORSxJ10yWGU,Entertainment,0:00:58,False
1182,MlaqRa0QXio,Entertainment,0:00:16,False
1183,-qk009ymr1Q,Entertainment,0:00:29,False
1184,JDdwufiTgK0,Gaming,0:00:35,False
1185,6RUdyXc_9Nk,Autos & Vehicles,0:00:34,False
1186,poD6nQMq1to,People & Blogs,0:00:56,False
1187,SnlNoVLny7M,Entertainment,0:00:54,False
1188,NAP-30KI-nc,Entertainment,0:00:14,False
1189,r3xC73zci0A,Sports,3:20:05,False
1190,DoUjWpbxX-c,Gaming,0:00:43,False
1191,BcvMoywMieA,,,
1192,BhFluAoLN7U,Howto & Style,0:00:26,False
1193,ECIuwlqOmkQ,Entertainment,0:00:16,False
1194,ieMPoYOz63I,People & Blogs,0:00:47,False
1195,y_WGL8rVrz0,Entertainment,0:04:46,False
1196,WttAaG_KZPQ,Entertainment,0:00:35,False
1197,BWn3NTykpvY,Sports,0:12:20,False
1198,FvEzNL1bqyU,Sports,0:14:41,False
1199,VyLfU-p8Na4,Comedy,0:00:18,False
1200,00QpU-OlKXs,Sports,2:52:25,False
1201,5D_Kvm7Byf0,Entertainment,0:00:26,False
1202,kq55Mo1Ub_o,People & Blogs,0:00:58,False
1203,3q18lgyfd7c,People & Blogs,0:00:59,False
1204,Z_iEJtx34qM,People & Blogs,0:00:13,False
1205,Z7OPGeL3yOk,People & Blogs,0:00:59,False
1206,r6-S5dcY7FY,Sports,3:07:55,False
1207,2hTd0VhvUjY,Film & Animation,0:00:28,False
1208,1QWMOQakNO8,Sports,0:00:32,False
1209,tuHuOx-pwio,Howto & Style,0:00:53,False
1210,17IWL6JT0b4,Entertainment,0:00:54,False
1211,Ea0L1Uwi7JM,,,
1212,NgJARTAkKHI,Gaming,0:00:52,False
1213,dbhub7h5Jbs,Entertainment,0:00:42,False
1214,XE1Qyss8GIY,Entertainment,0:00:46,False
1215,_L3vlD4E6FU,Entertainment,0:00:26,False
1216,oayy_kZkxv0,People & Blogs,0:01:00,False
1217,JKpdaBr2w8c,Pets & Animals,0:00:25,False
1218,LXDMAw8kMck,Entertainment,0:00:47,False
1219,wIPiQ69jaxE,Sports,0:00:27,False
1220,9KrgKohoxOo,Howto & Style,0:00:21,False
1221,wti1luETfws,Entertainment,0:00:33,False
1222,jj9hev4PQEI,People & Blogs,0:00:56,False
1223,erCrkFoWtAo,Entertainment,0:00:21,False
1224,2vhMtR5Mv4E,Entertainment,0:00:26,False
1225,XxCfLdjKXpk,People & Blogs,0:00:48,False
1226,Ll1H7fjgArw,Entertainment,0:00:35,False
1227,IUX_qjcY7h4,Entertainment,0:00:39,False
1228,SGzHrvNLCj8,Comedy,0:01:00,False
1229,vU6VDlvf0c4,People & Blogs,0:00:53,False
1230,1uT85pEBuzE,People & Blogs,0:00:19,False
1231,OzCg4_lqb-0,Sports,0:14:51,False
1232,Q0oGBJ9OrTg,Entertainment,0:00:58,False
1233,PS5oTItRwj8,People & Blogs,0:00:31,False
1234,BhLMYXJmB04,People & Blogs,0:00:54,False
